"Timestamp","Do you consent to participate in this study after reading the information above?  ","What is your academic year? ","What is your age group?","Have you received a scam call in the past 3 months?","What type of scam calls have you received?","How many scam calls do you receive per week on average?","Call Details ( What time of day do you typically receive these calls?)","What was the area code of the most recent scam call you received? (N/A if you don't remember)","What was the nature of the most recent scam call?","Have you ever fallen victim to a phone scam?"
"2025/11/07 3:46:41 AM EST","Yes, I consent to participate.","Freshman","17-19","Yes","Student Loan Scam","3-5","Afternoon (12 PM - 5 PM)","660","Loan scam","No"
"2025/11/07 3:46:50 AM EST","No, I do not consent.","","","","","","","","",""
"2025/11/07 3:54:41 AM EST","Yes, I consent to participate.","Junior","20-22","Yes","Credit Card Scam","1-2","Afternoon (12 PM - 5 PM)","660","Credit card","No"
"2025/11/17 3:02:43 PM EST","Yes, I consent to participate.","Senior","23-25","Yes","idk i dont pick them up","1-2","Afternoon (12 PM - 5 PM)","n/a","na","No"
"2025/11/17 3:17:09 PM EST","Yes, I consent to participate.","SophomoWhat is your academic year? re","17-19","Yes","Tech Support Scam;Credit Card Scam","None","Afternoon (12 PM - 5 PM)","N/A","Tried to sell health insurance","No"
"2025/11/17 3:45:25 PM EST","Yes, I consent to participate.","Junior","20-22","Yes","I never pick up so I don't know what kind.","More than 10","Afternoon (12 PM - 5 PM)","816 (my phone number's area code)","n/a","No"
"2025/11/17 7:27:17 PM EST","Yes, I consent to participate.","Junior","20-22","Yes","IRS/Tax Scam;Student Loan Scam;Credit Card Scam","1-2","Afternoon (12 PM - 5 PM)","660","Loans","No"
"2025/11/17 9:36:04 PM EST","Yes, I consent to participate.","Junior","20-22","Yes","IRS/Tax Scam;Social Security Scam","1-2","Afternoon (12 PM - 5 PM)","816","I let them go to voicemail so I don’t know.","No"
"2025/11/18 12:04:50 AM EST","Yes, I consent to participate.","SophomoWhat is your academic year? re","17-19","Not sure","I’ve received calls labeled as scams but didn’t pick up","1-2","No particular time","N/A","N/A","No"
"2025/11/18 9:34:42 AM EST","Yes, I consent to participate.","Senior","20-22","Yes;No","I dont pick up","None","No particular time","800","I didnt pick up","No"
"2025/11/18 1:06:13 PM EST","Yes, I consent to participate.","Senior","23-25","Yes","Someone Saying Goodbye every time","3-5","No particular time","660","Good Bye","No"
"2025/11/19 8:38:04 AM EST","Yes, I consent to participate.","Junior","20-22","Yes","Student Loan Scam","6-10","No particular time","512","Loans","No"
"2025/11/19 11:29:54 AM EST","Yes, I consent to participate.","Freshman","17-19","Yes","IRS/Tax Scam","1-2","Afternoon (12 PM - 5 PM)","330","Dept collection ","No"
"2025/12/01 12:07:36 AM EST","Yes, I consent to participate.","Junior","20-22","Yes","Credit Card Scam","1-2","Afternoon (12 PM - 5 PM)","","","No"
"2025/12/01 12:08:10 AM EST","Yes, I consent to participate.","SophomoWhat is your academic year? re","17-19","Yes","Credit Card Scam","1-2","Morning (6 AM - 12 PM)","","","No"
"2025/12/01 12:08:37 AM EST","Yes, I consent to participate.","Junior","17-19","Yes","Student Loan Scam","1-2","Morning (6 AM - 12 PM)","","","No"
"2025/12/01 12:08:57 AM EST","Yes, I consent to participate.","Freshman","17-19","Yes","Social Security Scam","1-2","Morning (6 AM - 12 PM)","","","Yes"
"2025/12/01 12:09:28 AM EST","Yes, I consent to participate.","Senior","20-22","Yes","Credit Card Scam","1-2","Afternoon (12 PM - 5 PM)","660","","No"
"2025/12/01 12:10:41 AM EST","Yes, I consent to participate.","Junior","20-22","Yes","Social Security Scam","1-2","Afternoon (12 PM - 5 PM)","","","No"
"2025/12/01 12:11:07 AM EST","Yes, I consent to participate.","Freshman","17-19","Yes","Credit Card Scam","1-2","Afternoon (12 PM - 5 PM)","","","No"
"2025/12/01 12:19:40 AM EST","Yes, I consent to participate.","Junior","20-22","Yes","Credit Card Scam","1-2","Morning (6 AM - 12 PM)","660","","No"
"2026/01/02 3:09:40 AM EST","Yes, I consent to participate.","Junior","20-22","Yes","Credit Card Scam","1-2","Afternoon (12 PM - 5 PM)","660","Asking for credit card information ","No"
"2026/01/03 6:43:40 PM EST","Yes, I consent to participate.","SophomoWhat is your academic year? re","17-19","Yes","Social Security Scam","1-2","Afternoon (12 PM - 5 PM)","660","Asking socials","No"
"2026/01/03 6:44:35 PM EST","Yes, I consent to participate.","Freshman","17-19","Yes","Debt ","1-2","Morning (6 AM - 12 PM)","","","No"
"2026/01/03 6:54:27 PM EST","Yes, I consent to participate.","Senior","20-22","Yes","Credit Card Scam","None","Morning (6 AM - 12 PM)","","","Yes"
"2026/01/03 6:54:54 PM EST","Yes, I consent to participate.","Freshman","17-19","Yes","Student Loan Scam","1-2","Morning (6 AM - 12 PM)","","","Yes"
"2026/01/03 7:55:31 PM EST","Yes, I consent to participate.","Freshman","17-19","No","Student Loan Scam","None","Morning (6 AM - 12 PM)","","","No"
"2026/01/03 8:07:44 PM EST","Yes, I consent to participate.","SophomoWhat is your academic year? re","20-22","Yes","Student Loan Scam","1-2","Afternoon (12 PM - 5 PM)","","","No"
"2026/01/03 9:21:23 PM EST","Yes, I consent to participate.","Junior","20-22","Yes","Credit Card Scam","1-2","Morning (6 AM - 12 PM)","","","No"
"2026/01/03 9:54:39 PM EST","Yes, I consent to participate.","Senior","20-22","Yes","Credit Card Scam","None","Afternoon (12 PM - 5 PM)","","","No"
"2026/01/03 9:55:15 PM EST","Yes, I consent to participate.","Senior","20-22","Yes","Credit Card Scam","None","Afternoon (12 PM - 5 PM)","","","No"
"2026/01/03 9:55:42 PM EST","Yes, I consent to participate.","SophomoWhat is your academic year? re","17-19","No","Credit Card Scam","1-2","No particular time","","","No"
"2026/01/03 9:56:37 PM EST","Yes, I consent to participate.","Senior","20-22","No","debt collecting agency","None","Afternoon (12 PM - 5 PM)","","","Yes"
